timestamp,x,y,θ,v,w
1759629113.9933221,0.00020422371899128574,6.063061518099678e-13,2.9704660046348435e-09,0.006799999997338904,8.016588968355249e-13
1759629114.030748,0.0005642237190023445,1.675677792782957e-12,2.9704837598620586e-09,0.010000000000303022,4.646517777424957e-13
1759629114.0686705,0.0009242237190124775,2.7450541647883736e-12,2.9704936937227994e-09,0.010000000000283144,2.4152145956181155e-13
1759629114.111355,0.0012842237190215722,3.814432939622604e-12,2.970499111333724e-09,0.010000000000249807,1.462980353070452e-13
1759629114.143765,0.001644223719029609,4.883813241155791e-12,2.970502149366432e-09,0.01000000000021924,8.40414088172852e-14
1759629114.180726,0.002004223719037322,5.9531943679887575e-12,2.970503930177945e-09,0.010000000000210275,5.107461105227882e-14
1759629114.2167583,0.0023642237190436453,7.0225760786661294e-12,2.970505060468154e-09,0.010000000000179535,3.4301587896057075e-14
1759629114.2542472,0.0027242237190488777,8.091958035042384e-12,2.970505825076236e-09,0.010000000000144593,2.4529916747987952e-14
1759629114.2925835,0.0030842237190542754,9.161340389869093e-12,2.970507132163176e-09,0.010000000000152522,2.05507310742897e-14
1759629114.3271368,0.0034442237190589757,1.0230723112997593e-11,2.9705083500962083e-09,0.010000000000129364,4.140367878202484e-14
1759629114.3639543,0.003804223719063144,1.1300105951314373e-11,2.9705081294780656e-09,0.010000000000112553,-6.245810424539027e-15
1759629114.4012048,0.00416422371906394,1.2369488477076254e-11,2.9705057918324052e-09,0.010000000000007999,-7.671265545623338e-14
1759629114.4371893,0.004524223719064255,1.3438870368068442e-11,2.9705050816233166e-09,0.010000000000008136,-8.562804614287376e-15
1759629114.474344,0.004884223719066183,1.4508252187122755e-11,2.970504380480727e-09,0.010000000000059035,-2.7199497010089316e-14
1759629114.5097995,0.005244223719067708,1.5577633883370148e-11,2.9705034587199944e-09,0.010000000000030384,-2.941575232202252e-14
1759629114.5498354,0.00560422371906822,1.6647013886989826e-11,2.9704979613994325e-09,0.010000000000015264,-1.4304920649750671e-13
1759629114.5838037,0.00596422371906849,1.7716393398116558e-11,2.9704978556236116e-09,0.01000000000000702,-2.417733067563494e-14
1759629114.6213102,0.006324223719069542,1.8785772444542202e-11,2.9704972451460123e-09,0.01000000000003436,-3.3243829678998054e-15
1759629114.6568823,0.0066842237190706585,1.9855151010942254e-11,2.9704959002819933e-09,0.010000000000031557,-2.0449992196474554e-14
1759629114.6939483,0.007044223719071173,2.0924528969930422e-11,2.9704943650214948e-09,0.010000000000011982,-2.689728037664387e-14
1759629114.7318397,0.007404223719072277,2.1993906759694125e-11,2.970493818009388e-09,0.010000000000036932,-1.9442603418323098e-14
1759629114.7721634,0.0077642237190726545,2.306328394499219e-11,2.9704908653528796e-09,0.010000000000009017,-7.374085856068657e-14
